,ID,Gamma,Location,Alpha,Probability
0,10518.0,1.5966935984,5.78111149767,0.761953477338,0.60170133823
1,1174.0,3.37695706265,4.51093002751,0.831569944396,5.28613899042e-09
2,12073.0,1.49381234419,3.78694549942,0.815885917394,0.00811804496313
3,12840.0,2.25198772075,3.38284457482,1.49352589852,0.0183364457357
4,13362.0,0.0586211711286,1.87403217406,0.422754688861,0.00465890249301
5,15003.0,2.26266211282,5.77318791659,1.1048374351,0.470045334508
6,15220.0,2.74172397001,4.8712372959,1.05484573573,0.115292875278
7,16588.0,2.60384491894,5.507139105,1.26293825848,0.540538635138
8,17641.0,2.57851398087,4.50520855016,1.06260796652,0.0264604476332
9,18539.0,2.91982254445,5.42632808611,1.55754195384,0.450857963175
10,18651.0,5.99811754483,4.06834898333,2.77670855223,0.472133110001
11,19197.0,2.74451248579,3.64154762441,1.43047223345,0.00600461224017
12,19591.0,2.97089316154,4.89999677457,1.43622644093,0.440426409419
13,19898.0,1.65848331637,4.24993687425,0.699316071532,0.00469545806696
14,20041.0,2.58517470506,5.20059513823,1.08332995498,0.408010979165
15,2008.0,1.86907964018,1.91664271331,0.93172374396,2.42315857469e-08
16,2010.0,2.12008494286,3.89402580914,1.57227072611,0.119123299713
17,20620.0,1.87162453214,4.39837827514,1.15512095606,0.117731011535
18,20972.0,2.62582771194,5.28828875882,0.948260743052,0.327638039671
19,2105.0,0.240014879685,2.15480389824,0.43941108944,0.0171207324422
20,2128.0,0.0603410226057,2.22872177159,6.01120015524e-05,0.00394068997069
21,21872.0,1.70798418031,4.57580030298,0.696861224689,0.0158347780285
22,22032.0,0.345480849508,1.89979801341,0.0479413884444,0.00293400320497
23,22.0,2.51407803539,4.77528396103,1.40452931302,0.361627042661
24,22998.0,2.05023515329,5.40112212742,0.86977288745,0.429823001692
25,23005.0,3.15771463843,5.42830149268,1.49169671112,0.463035885778
26,23975.0,1.34705778875,5.27926350562,0.507055437651,0.131279799593
27,24008.0,2.61890161254,3.95305305756,0.786803897791,3.23124218645e-09
28,24013.0,0.149301365552,1.96414323362,0.302880864437,0.0111405149866
29,24017.0,2.05630573726,4.03824899069,1.40854881231,0.104030529056
30,24248.0,2.79482826276,4.51885721222,1.13015339624,0.0321732389799
31,24346.0,2.66510060177,5.77482555991,0.976523911013,0.445817335858
32,24453.0,1.54642245646,3.97182173429,0.426468894845,1.49899465156e-06
33,24576.0,1.79727571996,4.68341674203,0.455826048918,5.53691853434e-05
34,24631.0,2.55406339544,4.28556986209,0.933521849546,0.000682038603244
35,24705.0,2.11109675356,4.47388580895,0.904053495967,0.0188493235878
36,24763.0,2.77092431136,4.50125986904,1.53238504744,0.275583395915
37,24824.0,2.32740054929,4.38980876565,1.65094860303,0.293954367107
38,24930.0,0.79464514112,4.66478974305,0.461983076594,0.0685342389215
39,2612.0,0.268627133528,2.75990788718,1.78939094186e-05,4.56053113872e-12
40,3000.0,1.7217971472,5.24104085307,0.956604255914,0.386160266027
41,3898.0,2.1366947807,3.45742534251,2.25467683301,0.192059935871
42,42.0,2.24841220545,3.08203855583,1.11548738669,2.95233160093e-05
43,4641.0,0.382622581758,2.43107120855,0.14732711058,0.00971332022015
44,4753.0,0.864943800192,5.89950060664,0.347090446046,0.550831860317
45,5505.0,1.94543865377,4.02517694019,0.664333170475,2.09283592562e-05
46,5958.0,2.46505802193,4.68947148058,1.31909183102,0.263452971194
47,67.0,6.23880309485,5.98353793445,1.61786872449,0.00734017482823
48,7341.0,0.37917756737,2.56608268862,0.184828162376,0.012923257732
49,7431.0,2.25973738751,3.14428370033,1.25737033285,0.000565110645457
50,8462.0,2.09631428849,4.45937324969,1.19955100055,0.130065263193
51,8582.0,0.184163332004,1.99626001819,1.19100278327,0.0147112330371
52,8744.0,0.833251932557,4.70525713081,0.154638909864,0.00181300084797
